"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date"
NA,NA,"COMP23107293",487,"INC","S","120  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)","3,959","$3,043.70","$12,050,000","$12,050,000","","16,597",1969,0,4,"03/06/2023"
NA,NA,"COMP23107312",487,"INC","S","109  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)","4,931","$2,443.72","$12,050,000","$12,050,000","","25,586",1969,0,5,"03/06/2023"
NA,NA,"COMP23107350",487,"INC","S","130  N MOUNTAIN AVE ","CLAREMONT",NA," (0 0 0 0)","990","$12,171.72","$12,050,000","$12,050,000","","21,622",1969,0,NA,"03/06/2023"
NA,NA,"COMP23107351",487,"INC","S","119  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)","4,931","$2,443.72","$12,050,000","$12,050,000","","19,756",1969,0,5,"03/06/2023"
NA,NA,"COMP23107441",469,"INC","S","556  N EAST END AVE ","POMONA",4,"2.00 (2 0 0 0)","1,864","$386.27","$720,000","$720,000","","7,771",1940,0,2,"03/07/2023"
NA,NA,"COMP23107662",469,"INC","S","1657   ALAMEDA ST ","POMONA",16,"10.00 (10 0 0 0)","7,546","$291.55","$2,200,000","$2,200,000","","14,532",1958,0,10,"03/07/2023"
NA,NA,"COMP23107890",469,"INC","S","2452   ANGELA ST ","POMONA",8,"5.00 (5 0 0 0)","3,818","$282.87","$1,080,000","$1,080,000","","7,727",1963,0,4,"03/07/2023"
NA,NA,"COMP23108841",469,"INC","S","935   PAINTER CT ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,053",1964,0,6,"03/07/2023"
NA,NA,"COMP23109107",469,"INC","S","500   SAN FRANCISCO AVE ","POMONA",20,"14.00 (14 0 0 0)","10,188","$196.31","$2,000,000","$2,000,000","","14,681",1964,0,13,"03/07/2023"
NA,NA,"COMP23109164",469,"INC","S","750  E 3RD ST ","POMONA",287,"239.00 (239 0 0 0)","179,704","$831.37","$149,400,000","$149,400,000","","331,702",1987,0,280,"03/07/2023"
NA,NA,"COMP23109846",469,"INC","S","1306   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,213",1964,0,6,"03/07/2023"
NA,NA,"COMP23109920",469,"INC","S","1936   ROYALTY DR ","POMONA",4,"2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","7,363",1963,0,2,"03/07/2023"
NA,NA,"COMP23110637",469,"INC","S","252  W WILLOW ST ","POMONA",4,"2.00 (2 0 0 0)","1,576","$456.85","$720,000","$720,000","","8,022",1946,0,2,"03/07/2023"
NA,NA,"COMP23111103",469,"INC","S","1542   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,833",1964,0,4,"03/07/2023"
NA,NA,"COMP23111854",469,"INC","S","1925   ROYALTY DR #27","POMONA",4,"4.00 (4 0 0 0)","1,976","$1,866.14","$3,687,500","$3,687,500","","7,372",1963,0,2,"03/07/2023"
NA,NA,"COMP23112265",469,"INC","S","1506   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","11,280",1964,0,4,"03/07/2023"
NA,NA,"COMP23112308",469,"INC","S","795  N PARK AVE ","POMONA",7,"4.00 (4 0 0 0)","3,153","$158.58","$500,000","$500,000","","13,016",1910,0,4,"03/07/2023"
NA,NA,"COMP23112975",469,"INC","S","938  E GRAND AVE ","POMONA",6,"3.00 (3 0 0 0)","2,662","$9,485.35","$25,250,000","$25,250,000","","7,781",1964,0,3,"03/07/2023"
NA,NA,"COMP23113386",487,"INC","S","765   BAYLOR AVE ","CLAREMONT",NA," (0 0 0 0)","7,624","$695.17","$5,300,000","$5,300,000","","24,582",1955,0,11,"03/07/2023"
NA,NA,"COMP23114037",469,"INC","S","696   WISCONSIN ST ","POMONA",6,"5.00 (5 0 0 0)","3,177","$629.52","$2,000,000","$2,000,000","","7,062",1960,0,5,"03/07/2023"
NA,NA,"COMP23114386",469,"INC","S","559   LINCOLN AVE ","POMONA",7,"5.00 (5 0 0 0)","3,164","$211.76","$670,000","$670,000","","14,572",1923,0,4,"03/07/2023"
NA,NA,"COMP23114539",469,"INC","S","903   PAINTER CT ","POMONA",18,"9.00 (9 0 0 0)","7,734","$3,264.80","$25,250,000","$25,250,000","","19,196",1964,0,9,"03/07/2023"
NA,NA,"COMP23114619",469,"INC","S","1333   PACKARD DR ","POMONA",18,"9.00 (9 0 0 0)","7,860","$3,212.47","$25,250,000","$25,250,000","","19,185",1964,0,9,"03/07/2023"
NA,NA,"COMP23114883",469,"INC","S","2385   CHANSLOR ST ","POMONA",8,"5.00 (5 0 0 0)","3,916","$197.91","$775,000","$775,000","","7,434",1964,0,4,"03/07/2023"
NA,NA,"COMP23115776",469,"INC","S","309  N GORDON ST ","POMONA",1,"1.00 (1 0 0 0)","560","$1,558.93","$873,000","$873,000","","8,205",1923,0,1,"03/07/2023"
NA,NA,"COMP23115779",469,"INC","S","1043  E GRAND AVE ","POMONA",2,"2.00 (2 0 0 0)","1,296","$420.52","$545,000","$545,000","","15,086",1926,0,2,"03/07/2023"
NA,NA,"COMP23115962",487,"INC","S","755   BAYLOR AVE ","CLAREMONT",6,"5.00 (5 0 0 0)","3,806","$1,392.54","$5,300,000","$5,300,000","","12,448",1954,0,5,"03/07/2023"
NA,NA,"COMP23116356",469,"INC","S","1003  S HAMILTON BLVD ","POMONA",9,"6.00 (6 0 0 0)","3,320","$180.72","$600,000","$600,000","","10,074",1989,0,3,"03/07/2023"
NA,NA,"COMP23116421",469,"INC","S","1934   BOBOLINK WAY ","POMONA",4,"2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","7,183",1963,0,2,"03/07/2023"
NA,NA,"COMP23116755",469,"INC","S","1079  N PARK AVE ","POMONA",4,"4.00 (4 0 0 0)","2,570","$238.13","$612,000","$612,000","","12,582",1947,0,4,"03/07/2023"
NA,NA,"COMP23116779",469,"INC","S","902  E GRAND AVE ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","12,545",1964,0,6,"03/07/2023"
NA,NA,"COMP23117052",469,"INC","S","1362  S GIBBS ST ","POMONA",11,"6.00 (6 0 0 0)","5,142","$223.65","$1,150,000","$1,150,000","","19,897",1918,0,5,"03/07/2023"
NA,NA,"COMP23117358",469,"INC","S","1336   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,717",1964,0,6,"03/07/2023"
NA,NA,"COMP23117729",469,"INC","S","1304   PACKARD DR ","POMONA",6,"3.00 (3 0 0 0)","2,662","$9,485.35","$25,250,000","$25,250,000","","6,740",1964,0,3,"03/07/2023"
NA,NA,"COMP23118284",469,"INC","S","1079   PATTERSON ST ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","8,960",1964,0,4,"03/07/2023"
NA,NA,"COMP23118360",469,"INC","S","1518   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,858",1964,0,4,"03/07/2023"
NA,NA,"COMP23119281",469,"INC","S","1554   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,789",1964,0,4,"03/07/2023"
NA,NA,"COMP23119389",469,"INC","S","1458   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","16,725",1964,0,6,"03/07/2023"
NA,NA,"COMP23119578",469,"INC","S","708   WISCONSIN ST ","POMONA",4,"3.00 (3 0 0 0)","2,220","$900.90","$2,000,000","$2,000,000","","7,025",1961,0,3,"03/07/2023"
NA,NA,"COMP23120380",469,"INC","S","934  E GRAND AVE ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","12,329",1964,0,6,"03/07/2023"
NA,NA,"COMP23120394",469,"INC","S","654  E 12TH ST ","POMONA",2,"2.00 (2 0 0 0)","1,112","$494.60","$550,000","$550,000","","6,180",1928,0,2,"03/07/2023"
NA,NA,"COMP23120445",469,"INC","S","1301   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","13,026",1964,0,6,"03/07/2023"
NA,NA,"COMP23120446",469,"INC","S","1431   PACKARD DR ","POMONA",24,"12.00 (12 0 0 0)","10,648","$2,371.34","$25,250,000","$25,250,000","","27,326",1964,0,12,"03/07/2023"
NA,NA,"COMP23120813",469,"INC","S","1379  S GIBBS ST ","POMONA",7,"4.00 (4 0 0 0)","3,360","$372.02","$1,250,000","$1,250,000","","19,852",1958,0,3,"03/07/2023"
NA,NA,"COMP23120895",469,"INC","S","548  W CENTER ST ","POMONA",5,"5.00 (5 0 0 0)","4,378","$142.76","$625,000","$625,000","","9,335",1925,0,5,"03/07/2023"
NA,NA,"COMP23120942",469,"INC","S","774  N GORDON ST ","POMONA",16,"16.00 (16 0 0 0)","10,524","$1,209.62","$12,730,000","$12,730,000","","14,373",1964,0,16,"03/07/2023"
NA,NA,"COMP23120987",487,"INC","S","320   STANFORD DR ","CLAREMONT",13,"11.00 (11 0 0 0)","6,786","$442.09","$3,000,000","$3,000,000","","19,353",1956,0,11,"03/07/2023"
NA,NA,"COMP23121195",469,"INC","S","934   PAINTER CT ","POMONA",12,"6.00 (6 0 0 0)","5,324","$4,742.67","$25,250,000","$25,250,000","","17,038",1964,0,6,"03/07/2023"
NA,NA,"COMP23121289",469,"INC","S","310  E ALVARADO ST ","POMONA",4,"6.00 (6 0 0 0)","4,488","$289.66","$1,300,000","$1,300,000","","9,237",1910,0,6,"03/07/2023"
NA,NA,"COMP23121642",469,"INC","S","603  E COLUMBIA AVE ","POMONA",2,"1.00 (1 0 0 0)","2,815","$159.50","$449,000","$449,000","","6,942",1923,0,2,"03/07/2023"
NA,NA,"COMP23121743",469,"INC","S","777  E 3RD ST ","POMONA",99,"99.00 (99 0 0 0)","113,008","$1,322.03","$149,400,000","$149,400,000","","167,895",1986,0,192,"03/07/2023"
NA,NA,"COMP23122168",469,"INC","S","1060  S REBECCA ST ","POMONA",4,"2.00 (2 0 0 0)","1,384","$505.78","$700,000","$700,000","","6,576",1939,0,2,"03/07/2023"
NA,NA,"COMP23122200",469,"INC","S","2161  N TOWNE AVE ","POMONA",13,"12.00 (12 0 0 0)","6,149","$468.37","$2,880,000","$2,880,000","","8,536",1962,0,6,"03/07/2023"
NA,NA,"COMP23122597",469,"INC","S","895  E 9TH ST ","POMONA",3,"2.00 (2 0 0 0)","1,298","$362.10","$470,000","$470,000","","6,634",1946,0,2,"03/07/2023"
NA,NA,"COMP23122627",469,"INC","S","1530   HOLLY WAY ","POMONA",8,"4.00 (4 0 0 0)","4,400","$1,709.09","$7,520,000","$7,520,000","","9,744",1964,0,4,"03/07/2023"
NA,NA,"COMP23122974",469,"INC","S","2167  N TOWNE AVE ","POMONA",13,"12.00 (12 0 0 0)","6,149","$468.37","$2,880,000","$2,880,000","","8,524",1962,0,6,"03/07/2023"
NA,NA,"COMP23123251",469,"INC","S","1092  E PHILLIPS BLVD ","POMONA",8,"4.00 (4 0 0 0)","4,232","$1,776.94","$7,520,000","$7,520,000","","8,913",1964,0,4,"03/07/2023"
NA,NA,"COMP23123264",469,"INC","S","902   PAINTER CT ","POMONA",12,"6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","14,463",1964,0,6,"03/07/2023"
NA,NA,"COMP23123746",469,"INC","S","1416   PACKARD DR ","POMONA",12,"6.00 (6 0 0 0)","5,072","$4,978.31","$25,250,000","$25,250,000","","15,619",1964,0,6,"03/07/2023"
NA,NA,"COMP23124236",469,"INC","S","1062  S MAIN ST ","POMONA",6,"2.00 (2 0 0 0)","1,587","$387.52","$615,000","$615,000","","7,648",1906,0,2,"03/07/2023"
NA,NA,"COMP23124483",469,"INC","S","510  E 3RD ST ","POMONA",99,"99.00 (99 0 0 0)","72,707","$321.84","$23,400,000","$23,400,000","","34,155",2005,0,100,"03/07/2023"
NA,NA,"COMP23124748",469,"INC","S","740   HAWTHORNE PL ","POMONA",2,"2.00 (2 0 0 0)","1,232","$466.72","$575,000","$575,000","","6,491",1947,0,2,"03/07/2023"
NA,NA,"COMP23124908",469,"INC","S","1414   PACKARD DR ","POMONA",6,"3.00 (3 0 0 0)","2,536","$9,956.62","$25,250,000","$25,250,000","","8,340",1964,0,3,"03/07/2023"
NA,NA,"COMP23125002",487,"INC","S","468  W 7TH ST ","CLAREMONT",4,"3.00 (3 0 0 0)","2,366","$422.65","$1,000,000","$1,000,000","","7,500",1956,0,2,"03/07/2023"
NA,NA,"COMP23125234",469,"INC","S","1124  W FERNLEAF AVE ","POMONA",1,"1.00 (1 0 0 0)","1,400","$413.57","$579,000","$579,000","","6,403",1947,0,2,"03/07/2023"
NA,NA,"COMP23125702",469,"INC","S","1079   PATTERSON ST ","POMONA",NA," (0 0 0 0)","1,444","$5,207.76","$7,520,000","$7,520,000","","1,539",1992,0,NA,"03/07/2023"
NA,NA,"COMP23125952",469,"INC","S","1924   BOBOLINK WAY ","POMONA",4,"2.00 (2 0 0 0)","2,016","$1,829.12","$3,687,500","$3,687,500","","8,005",1963,0,2,"03/07/2023"
NA,NA,"COMP23125973",469,"INC","S","1014  W 4TH ST ","POMONA",2,"2.00 (2 0 0 0)","1,208","$405.63","$490,000","$490,000","","5,806",1951,0,2,"03/07/2023"
NA,NA,"COMP23126556",469,"INC","S","1024  W GRAND AVE ","POMONA",6,"3.00 (3 0 0 0)","2,232","$268.82","$600,000","$600,000","","9,442",1962,0,3,"04/03/2023"
NA,NA,"COMP23126670",469,"INC","S","1060  W MISSION BLVD ","POMONA",8,"6.00 (6 0 0 0)","4,166","$360.06","$1,500,000","$1,500,000","","87,535",1906,0,5,"04/03/2023"
NA,NA,"COMP23126927",469,"INC","S","638  W 4TH ST ","POMONA",4,"3.00 (3 0 0 0)","2,001","$799.60","$1,600,000","$1,600,000","","7,952",1917,0,3,"04/17/2023"
NA,NA,"COMP23126955",469,"INC","S","631  W MISSION BLVD ","POMONA",NA,"3.00 (3 0 0 0)","1,369","$1,168.74","$1,600,000","$1,600,000","","6,792",1907,0,2,"04/17/2023"
NA,NA,"COMP23126957",487,"INC","S","230  W 11TH ST ","CLAREMONT",4,"3.00 (3 0 0 0)","2,126","$505.64","$1,075,000","$1,075,000","","7,500",1958,0,2,"04/17/2023"
NA,NA,"COMP23128838",487,"INC","S","917   ALAMOSA DR ","CLAREMONT",6,"8.00 (8 0 0 0)","7,688","$338.19","$2,600,000","$2,600,000","","56,038",1992,0,2,"07/10/2023"
NA,NA,"COMP23129839",487,"INC","S","514   YALE AVE ","CLAREMONT",2,"2.00 (2 0 0 0)","1,134","$1,940.04","$2,200,000","$2,200,000","","2,434",1957,0,2,"09/11/2023"
NA,NA,"COMP23130011",469,"INC","S","754   BRADFORD ST ","POMONA",3,"3.00 (3 0 0 0)","1,776","$1,258.45","$2,235,000","$2,235,000","","5,234",1938,0,3,"09/11/2023"
NA,NA,"COMP23130058",469,"INC","S","202   SAN FRANCISCO AVE ","POMONA",6,"6.00 (6 0 0 0)","3,436","$650.47","$2,235,000","$2,235,000","","12,686",1923,0,6,"09/11/2023"
NA,NA,"COMP23130091",469,"INC","S","1385  S HAMILTON BLVD ","POMONA",8,"3.00 (3 0 0 0)","3,032","$296.83","$900,000","$900,000","","10,196",1963,0,3,"09/25/2023"
NA,NA,"COMP23130331",469,"INC","S","1423  S HAMILTON BLVD ","POMONA",3,"2.00 (2 0 0 0)","1,746","$500","$873,000","$873,000","","11,940",1959,0,2,"09/25/2023"
NA,NA,"COMP23130779",469,"INC","S","658  E 8TH ST ","POMONA",6,"6.00 (6 0 0 0)","2,772","$304.83","$845,000","$845,000","","7,745",1959,0,6,"10/30/2023"
NA,NA,"COMP23131424",469,"INC","S","1445  S GIBBS ST ","POMONA",9,"5.00 (5 0 0 0)","4,028","$265.64","$1,070,000","$1,070,000","","18,046",1963,0,4,"11/20/2023"
NA,NA,"COMP23131606",487,"INC","S","628   BLANCHARD PL ","CLAREMONT",3,"2.00 (2 0 0 0)","1,456","$659.34","$960,000","$960,000","","9,472",1950,0,2,"12/11/2023"
NA,NA,"COMP23131961",469,"INC","S","540  E KINGSLEY AVE ","POMONA",3,"2.00 (2 0 0 0)","2,142","$266.11","$570,000","$570,000","","11,689",1921,0,2,"12/21/2023"
NA,NA,"COMP24133003",487,"INC","S","1360   OXFORD AVE ","CLAREMONT",24,"32.00 (32 0 0 0)","12,798","$168.78","$2,160,000","$2,160,000","","26,087",1978,0,12,"02/06/2024"
NA,NA,"COMP24133521",469,"INC","S","725  N GORDON ST ","POMONA",5,"4.00 (4 0 0 0)","2,764","$150.14","$415,000","$415,000","","11,743",1897,0,4,"02/27/2024"
NA,NA,"COMP24133669",469,"INC","S","321  N PALOMARES ST ","POMONA",3,"3.00 (3 0 0 0)","1,808","$342.92","$620,000","$620,000","","6,895",1928,0,3,"03/05/2024"
NA,NA,"COMP24134226",469,"INC","S","192  E PHILLIPS BLVD ","POMONA",8,"4.00 (4 0 0 0)","3,297","$280.56","$925,000","$925,000","","20,970",1946,0,4,"03/26/2024"
NA,NA,"COMP24134495",469,"INC","S","1433  S SAN ANTONIO AVE #B","POMONA",4,"2.00 (2 0 0 0)","1,996","$345.69","$690,000","$690,000","","15,221",1953,0,2,"04/10/2024"
NA,NA,"COMP24134844",469,"INC","S","3106  N GAREY AVE ","POMONA",NA,"70.00 (70 0 0 0)","47,394","$208.89","$9,900,000","$9,900,000","","67,949",1963,0,44,"04/23/2024"
NA,NA,"COMP24134942",469,"INC","S","540   SAN FRANCISCO AVE ","POMONA",3,"3.00 (3 0 0 0)","1,848","$361.47","$668,000","$668,000","","11,027",1910,0,3,"04/23/2024"
NA,NA,"COMP24135036",469,"INC","S","794  W 8TH ST ","POMONA",5,"2.00 (2 0 0 0)","2,194","$325.89","$715,000","$715,000","","7,190",1923,0,2,"04/30/2024"
NA,16,"CV20256088MR",1543,"INC","S","542  E ""E"" ST ","ONTARIO",NA,"3.00 (0 0 0 0)","1,904","$387.87","$738,500","$720,000","$0.00","9,558",1953,122,3,"07/02/2021"
NA,53,"CV20262409MR",1543,"INC","S","1672  E Harvard PL ","ONTARIO",NA,"12.00 (0 0 0 0)","14,321","$286.29","$4,100,000","$4,050,000","$288.00","25,799",2018,117,9,"06/01/2021"
NA,18,"CV21006119MR",1543,"INC","S","1006  W E ST #2","ONTARIO",NA,"2.00 (0 0 0 0)","1,674","$316.61","$529,999","$500,000","$0.00","8,845",1956,71,2,"06/22/2021"
NA,24,"CV21008002MR",1627,"INC","S","10324 10316  25th ST ","RANCHO CUCAMONGA",NA,"3.00 (0 0 0 0)","2,300","$334.78","$770,000","$765,000","","6,250",1977,27,2,"05/27/2021"
NA,7,"CV21028495MR",1543,"INC","S","1095  E Nocta ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,312","$313.58","$725,000","$720,000","$0.00","7,200",1955,124,3,"07/03/2021"
NA,1,"CV21065675MR",1627,"INC","S","9836   Main ST ","RANCHO CUCAMONGA",NA,"2.00 (0 0 0 0)","1,400","$382.14","$535,000","$535,000","$0.00","8,000",1925,6,2,"06/07/2021"
NA,62,"CV21069087MR",469,"INC","S","423   Chester PL ","POMONA",NA,"3.00 (0 0 0 0)","1,932","$310.04","$599,000","$660,000","","7,361",1941,21,3,"06/13/2021"
NA,27,"CV21071525MR",1455,"INC","S","10341   Vernon AVE ","MONTCLAIR",NA,"8.00 (0 0 0 0)","4,720","$252.12","$1,190,000","$1,248,000","","32,438",1938,3,4,"05/24/2021"
NA,56,"CV21074837MR",1543,"INC","S","1035  N Allyn AVE ","ONTARIO",NA,"2.00 (0 0 0 0)","1,868","$401.50","$749,999","$735,000","$0.00","7,095",1960,139,2,"10/18/2021"
NA,6,"CV21079520MR",469,"INC","S","231   San Francisco AVE ","POMONA",6,"3.00 (3 0 0 0)","2,856","$255.60","$730,000","$761,000","$0.00","6,816",1921,28,NA,"07/15/2021"
NA,15,"CV21083046MR",487,"INC","S","2917   Rhodelia AVE ","CLAREMONT",4,"3.00 (3 0 0 0)","1,924","$467.77","$899,999","$850,000","$0.00","7,979",1964,89,NA,"10/08/2021"
NA,7,"CV21083434MR",1795,"INC","S","289   Stillman AVE ","UPLAND",NA,"4.00 (0 0 0 0)","3,733","$267.61","$999,000","$1,010,000","$109.00","9,520",1968,0,4,"06/25/2021"
NA,23,"CV21084012MR",1543,"INC","S","1035  N Allyn AVE ","ONTARIO",4,"2.00 (2 0 0 0)","1,868","$401.50","$749,999","$735,000","$0.00","7,095",1960,127,NA,"10/18/2021"
NA,64,"CV21084596MR",1543,"INC","S","504  E Harvard PL ","ONTARIO",6,"5.00 (4 0 1 0)","2,713","$368.23","$999,000","$1,090,000","$0.00","10,714",1939,20,NA,"06/22/2021"
NA,63,"CV21084663MR",1543,"INC","S","504  E Harvard PL ","ONTARIO",NA,"5.00 (0 0 0 0)","2,713","$368.23","$999,000","$1,090,000","$0.00","10,714",1939,20,3,"06/22/2021"
NA,34,"CV21085524MR",1543,"INC","S","1081  E Nocta ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,114","$471.27","$525,000","$550,000","$0.00","6,192",1924,15,2,"05/26/2021"
NA,34,"CV21085607MR",1543,"INC","S","1081  E Nocta ST ","ONTARIO",3,"2.00 (2 0 0 0)","1,114","$471.27","$525,000","$550,000","$0.00","6,192",1924,15,1,"05/26/2021"
NA,21,"CV21087718MR",1627,"INC","S","10371   24th ST ","RANCHO CUCAMONGA",NA,"2.00 (0 0 0 0)","1,600","$418.75","$670,000","$690,000","","7,500",1961,3,2,"06/26/2021"
NA,7,"CV21091532MR",1795,"INC","S","635  E 8th ST ","UPLAND",NA,"4.00 (0 0 0 0)","9,029","$332.26","$3,000,000","$2,920,000","$0.00","44,431",1952,3,12,"10/08/2021"
NA,2,"CV21094424MR",469,"INC","S","731  N Eleanor ST ","POMONA",NA,"3.00 (0 0 0 0)","2,243","$345.47","$774,900","$755,000","","9,854",1946,15,3,"06/18/2021"
NA,20,"CV21095699MR",1627,"INC","S","9358   La Grande ST ","ALTA LOMA",2,"2.00 (2 0 0 0)","1,166","$301.89","$352,000","$451,000","$0.00","10,112",1956,22,NA,"07/12/2021"
NA,1,"CV21096200MR",1543,"INC","S","311  N Campus AVE ","ONTARIO",NA,"2.00 (0 0 0 0)","1,800","$321.67","$579,000","$579,000","$0.00","6,528",1960,0,2,"06/25/2021"
NA,41,"CV21096862MR",469,"INC","S","362  E Jefferson AVE ","POMONA",3,"2.00 (2 0 0 0)","1,454","$439.34","$638,800","$660,000","$0.00","7,264",1909,15,NA,"07/08/2021"
NA,12,"CV21104255MR",469,"INC","S","435  E 11th ST ","POMONA",NA,"2.00 (0 0 0 0)","1,500","$300","$450,000","$485,000","$0.00","7,800",1901,10,2,"06/30/2021"
NA,31,"CV21110747MR",1795,"INC","S","643  E 7th ST ","UPLAND",4,"5.00 (4 0 1 0)","2,000","$349.95","$699,900","$750,000","$0.00","7,772",1945,27,NA,"01/21/2022"
NA,30,"CV21110756MR",1795,"INC","S","643  E 7th ST ","UPLAND",4,"5.00 (0 0 0 0)","2,000","$349.95","$699,900","$750,000","$0.00","7,772",1945,34,6,"01/21/2022"
NA,22,"CV21113241MR",469,"INC","S","958  S Garey AVE ","POMONA",NA,"2.00 (0 0 0 0)","2,086","$301.97","$629,900","$661,000","","6,904",1952,21,2,"09/29/2021"
NA,45,"CV21118040MR",1543,"INC","S","630  W Flora ST ","ONTARIO",NA,"6.00 (0 0 0 0)","3,678","$244.67","$899,900","$1,120,000","","18,000",1954,3,6,"07/07/2021"
NA,15,"CV21120860MR",1543,"INC","S","1524  S Euclid AVE ","ONTARIO",NA,"4.00 (0 0 0 0)","4,168","$164.83","$687,000","$687,000","$0.00","9,685",1955,3,2,"08/03/2021"
NA,61,"CV21122812MR",487,"INC","S","309  N Cambridge AVE ","CLAREMONT",NA,"3.00 (0 0 0 0)","2,404","$519.97","$1,250,000","$1,075,000","","9,284",1952,33,3,"08/18/2021"
NA,61,"CV21126188MR",487,"INC","S","309  N Cambridge AVE ","CLAREMONT",6,"3.00 (3 0 0 0)","2,404","$519.97","$1,250,000","$1,075,000","$0.00","9,284",1952,31,NA,"08/18/2021"
NA,1,"CV21126441MR",469,"INC","S","438   Randolph ST ","POMONA",NA,"3.00 (0 0 0 0)","3","$178,333.33","$535,000","$535,000","$0.00","7,059",1927,0,3,"07/23/2021"
NA,11,"CV21130743MR",1543,"INC","S","863  N Vineyard AVE ","ONTARIO",NA,"3.00 (0 0 0 0)","3,834","$273.87","$1,050,000","$1,150,000","","6,222",1963,21,4,"08/24/2021"
NA,3,"CV21130968MR",1543,"INC","S","737  E D ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,634","$336.47","$549,800","$585,000","","8,850",1922,17,2,"08/02/2021"
NA,16,"CV21131167MR",1543,"INC","S","905  N Vineyard AVE ","ONTARIO",NA,"3.00 (0 0 0 0)","3,834","$273.87","$1,050,000","$1,150,000","","6,222",1963,21,4,"08/24/2021"
NA,14,"CV21133235MR",469,"INC","S","684  N Huntington BLVD ","POMONA",NA,"2.00 (0 0 0 0)","1,760","$363.58","$639,900","$670,000","","8,870",1915,10,2,"08/09/2021"
NA,46,"CV21133589MR",1543,"INC","S","1420  S Monterey AVE ","ONTARIO",NA,"2.00 (0 0 0 0)","1,561","$413.20","$645,000","$620,000","","6,030",1952,6,2,"08/27/2021"
NA,1,"CV21134629MR",1455,"INC","S","9336   Ramona AVE ","MONTCLAIR",NA,"2.00 (0 0 0 0)","2,546","$247.44","$629,990","$650,000","$0.00","7,322",1978,6,2,"07/13/2021"
NA,29,"CV21136898MR",487,"INC","S","231  W 10th ST ","CLAREMONT",NA,"4.00 (0 0 0 0)","2,751","$428.93","$1,180,000","$1,180,000","","10,570",1908,0,3,"06/23/2021"
NA,29,"CV21136986MR",469,"INC","S","1067  S Thomas ST ","POMONA",6,"6.00 (4 0 2 0)","1,415","$844.52","$1,195,000","$1,138,000","$0.00","7,829",2021,173,NA,"12/30/2021"
NA,28,"CV21137039MR",469,"INC","S","1067  S Thomas ST ","POMONA",NA,"4.00 (0 0 0 0)","2,830","$422.26","$1,195,000","$1,138,000","$0.00","7,829",2021,173,2,"12/30/2021"
NA,6,"CV21146154MR",469,"INC","S","4216 A - B  Monte Verde AVE ","POMONA",NA,"2.00 (0 0 0 0)","1,696","$371.40","$629,900","$615,000","$0.00","8,750",1965,75,2,"10/30/2021"
NA,1,"CV21148079MR",1627,"INC","S","8758   Lomita Dr ","RANCHO CUCAMONGA",NA,"7.00 (0 0 0 0)","3,598","$305.73","$1,100,000","$1,100,000","","9,000",1973,7,4,"08/24/2021"
NA,32,"CV21149455MR",469,"INC","S","795  N Park AVE ","POMONA",NA,"6.00 (0 0 0 0)","3,153","$250.24","$789,000","$700,000","","13,016",1910,123,4,"11/20/2021"
NA,6,"CV21154105MR",469,"INC","S","298  E Franklin AVE ","POMONA",NA,"2.00 (0 0 0 0)","1,169","$470.49","$550,000","$575,000","","10,141",1935,19,2,"09/02/2021"
